match_id,team,opponent,team_xg,opp_xg,xg_diff,shots,outcome
3754022,Crystal Palace,Norwich City,1.2824346,1.0310543,0.25138032,14,Win
3754022,Norwich City,Crystal Palace,1.0310543,1.2824346,0.25138032,14,Loss
3754024,Newcastle United,Swansea City,1.0500872,1.1110243,0.060937047,12,Win
3754024,Swansea City,Newcastle United,1.1110243,1.0500872,0.060937047,12,Loss
3754026,Crystal Palace,Stoke City,1.2387486,1.1962769,0.042471647,17,Win
3754026,Stoke City,Crystal Palace,1.1962769,1.2387486,0.042471647,12,Loss
3754034,Everton,Southampton,0.9120889,1.0568284,0.14473951,11,Win
3754034,Southampton,Everton,1.0568284,0.9120889,0.14473951,17,Loss
3754044,Manchester United,Norwich City,0.9421335,0.9237468,0.018386662,11,Loss
3754044,Norwich City,Manchester United,0.9237468,0.9421335,0.018386662,6,Win
3754050,Crystal Palace,Sunderland,1.1187674,1.0557287,0.06303871,14,Draw
3754050,Sunderland,Crystal Palace,1.0557287,1.1187674,0.06303871,19,Draw
3754052,Norwich City,West Bromwich Albion,0.69767255,0.45848504,0.23918751,7,Win
3754052,West Bromwich Albion,Norwich City,0.45848504,0.69767255,0.23918751,10,Loss
3754061,Chelsea,Stoke City,1.3757944,1.5152482,0.13945377,20,Draw
3754061,Stoke City,Chelsea,1.5152482,1.3757944,0.13945377,17,Draw
3754074,Swansea City,Tottenham Hotspur,0.9218798,1.158606,0.23672622,11,Draw
3754074,Tottenham Hotspur,Swansea City,1.158606,0.9218798,0.23672622,21,Draw
3754083,Chelsea,Crystal Palace,2.2023637,2.1445632,0.05780053,27,Loss
3754083,Crystal Palace,Chelsea,2.1445632,2.2023637,0.05780053,13,Win
3754084,Aston Villa,West Bromwich Albion,0.6328571,0.46868968,0.1641674,16,Draw
3754084,West Bromwich Albion,Aston Villa,0.46868968,0.6328571,0.1641674,5,Draw
3754088,Manchester United,Newcastle United,1.8573539,2.1130974,0.2557435,12,Draw
3754088,Newcastle United,Manchester United,2.1130974,1.8573539,0.2557435,14,Draw
3754090,Newcastle United,Stoke City,1.3305546,1.3440481,0.013493538,15,Draw
3754090,Stoke City,Newcastle United,1.3440481,1.3305546,0.013493538,10,Draw
3754093,Chelsea,Tottenham Hotspur,0.27185443,0.51261866,0.24076423,5,Draw
3754093,Tottenham Hotspur,Chelsea,0.51261866,0.27185443,0.24076423,9,Draw
3754097,Manchester United,Tottenham Hotspur,0.5250775,0.5846459,0.059568405,9,Win
3754097,Tottenham Hotspur,Manchester United,0.5846459,0.5250775,0.059568405,9,Loss
3754101,Norwich City,Southampton,1.1692611,0.9872714,0.18198967,10,Win
3754101,Southampton,Norwich City,0.9872714,1.1692611,0.18198967,10,Loss
3754103,Chelsea,Watford,0.9393716,0.9010311,0.03834051,13,Draw
3754103,Watford,Chelsea,0.9010311,0.9393716,0.03834051,13,Draw
3754106,Aston Villa,Leicester City,1.2169253,1.4981258,0.28120053,11,Loss
3754106,Leicester City,Aston Villa,1.4981258,1.2169253,0.28120053,21,Win
3754107,Aston Villa,Manchester United,0.32450932,0.5409471,0.21643776,5,Loss
3754107,Manchester United,Aston Villa,0.5409471,0.32450932,0.21643776,8,Win
3754108,Chelsea,Sunderland,1.1584543,0.96629393,0.19216037,9,Loss
3754108,Sunderland,Chelsea,0.96629393,1.1584543,0.19216037,14,Win
3754111,Arsenal,Chelsea,1.1486089,1.1831136,0.034504652,10,Loss
3754111,Chelsea,Arsenal,1.1831136,1.1486089,0.034504652,12,Win
3754112,Newcastle United,Southampton,1.6138294,1.3296814,0.28414798,10,Draw
3754112,Southampton,Newcastle United,1.3296814,1.6138294,0.28414798,14,Draw
3754116,Chelsea,Swansea City,1.6571838,1.8257265,0.16854274,9,Loss
3754116,Swansea City,Chelsea,1.8257265,1.6571838,0.16854274,12,Win
3754120,Southampton,West Ham United,0.81201243,0.87702435,0.06501192,8,Win
3754120,West Ham United,Southampton,0.87702435,0.81201243,0.06501192,19,Loss
3754121,AFC Bournemouth,Watford,1.1564956,0.909375,0.24712056,12,Draw
3754121,Watford,AFC Bournemouth,0.909375,1.1564956,0.24712056,14,Draw
3754130,Aston Villa,Norwich City,0.31659082,0.5811104,0.2645196,7,Loss
3754130,Norwich City,Aston Villa,0.5811104,0.31659082,0.2645196,9,Win
3754133,Norwich City,West Bromwich Albion,0.7781621,0.5951468,0.18301535,16,Loss
3754133,West Bromwich Albion,Norwich City,0.5951468,0.7781621,0.18301535,7,Win
3754140,Everton,Tottenham Hotspur,0.72384495,0.8274244,0.10357946,12,Draw
3754140,Tottenham Hotspur,Everton,0.8274244,0.72384495,0.10357946,19,Draw
3754143,Liverpool,Newcastle United,1.1163291,0.8870706,0.22925848,10,Loss
3754143,Newcastle United,Liverpool,0.8870706,1.1163291,0.22925848,6,Win
3754146,Leicester City,Stoke City,1.6110065,1.3240588,0.28694773,12,Draw
