match_id,team,outcome,wide_progression_share,build_up_share
266874,Barcelona,Win,0.4155844155844156,0.5023537323470074
266961,Barcelona,Draw,0.4119718309859155,0.41473783656117147
266961,RC Deportivo La Coruña,Draw,0.4397905759162304,0.36057201225740554
267076,Barcelona,Draw,0.3333333333333333,0.47714808043875684
267076,Real Madrid,Draw,0.46601941747572817,0.5933908045977011
267502,Athletic Club,Draw,0.45701357466063347,0.5534995977473853
267502,Barcelona,Draw,0.3629032258064516,0.40951339529797703
267576,Atlético Madrid,Loss,0.6231884057971014,0.46964490263459335
267576,Barcelona,Win,0.4603174603174603,0.5340855665256229
267660,Barcelona,Loss,0.2920634920634921,0.5162966461974492
267660,RC Deportivo La Coruña,Win,0.4,0.4394977168949772
267675,Barcelona,Win,0.403921568627451,0.4509415262636274
267675,Sevilla,Loss,0.4311377245508982,0.358974358974359
303400,Barcelona,Loss,0.39015151515151514,0.6285148514851485
303400,Valencia,Win,0.42758620689655175,0.4531422271223815
303430,Barcelona,Win,0.4127659574468085,0.47333333333333333
303430,Villarreal,Loss,0.3981042654028436,0.42445054945054944
303470,Barcelona,Loss,0.3147410358565737,0.5812053115423902
303470,Real Madrid,Win,0.545,0.44407233757535164
303473,Barcelona,Win,0.3784860557768924,0.4496567505720824
303473,Sevilla,Loss,0.5136363636363637,0.4324734446130501
303524,Atlético Madrid,Loss,0.5121951219512195,0.307177033492823
303524,Barcelona,Win,0.37349397590361444,0.5281488549618321
303596,Barcelona,Draw,0.3333333333333333,0.48350398179749715
303596,Real Madrid,Draw,0.4326923076923077,0.44066749072929545
303674,Barcelona,Draw,0.35135135135135137,0.38447488584474887
303674,Sevilla,Draw,0.5376884422110553,0.5058724832214765
2275036,Everton LFC,Win,0.5797101449275363,0.42857142857142855
2275036,Reading WFC,Loss,0.5743801652892562,0.5086655112651647
2275083,Birmingham City WFC,Loss,0.4868421052631579,0.47030716723549487
2275083,Bristol City WFC,Win,0.5187165775401069,0.5552083333333333
2275105,Chelsea FCW,Draw,0.463519313304721,0.5458745874587458
2275105,Manchester City WFC,Draw,0.509009009009009,0.6720183486238532
2275116,Liverpool WFC,Loss,0.44086021505376344,0.44424620874219445
2275116,Manchester City WFC,Win,0.4538152610441767,0.5907873594001071
2275120,Birmingham City WFC,Loss,0.45714285714285713,0.3851261620185923
2275120,Everton LFC,Win,0.5575757575757576,0.4819277108433735
2275136,Manchester City WFC,Win,0.5040983606557377,0.4351320321469575
2275136,Manchester United,Loss,0.5051546391752577,0.5371428571428571
2275144,Everton LFC,Loss,0.6502463054187192,0.5220243673851921
2275144,Manchester United,Win,0.59375,0.3006993006993007
2275157,Manchester United,Win,0.518324607329843,0.2776381909547739
2275157,Reading WFC,Loss,0.46632124352331605,0.5212962962962963
3749117,Arsenal,Draw,0.3562753036437247,0.4984567901234568
3749117,Everton,Draw,0.4188034188034188,0.42446709916589437
3749448,Arsenal,Win,0.4637096774193548,0.5980042765502495
3749448,Liverpool,Loss,0.5337078651685393,0.5650364203954215
3749603,Arsenal,Win,0.4669421487603306,0.6163475699558174
3749603,Fulham,Loss,0.5172413793103449,0.2688330871491876
3750201,Barcelona,Win,0.40186915887850466,0.3882270497547302
3750201,Manchester United,Loss,0.43243243243243246,0.5643024162120032
3750240,Fiorentina,Win,0.43555555555555553,0.544290288153682
3750240,Manchester United,Loss,0.4551083591331269,0.5897720956086715
3750248,Athletic Club,Win,0.4716981132075472,0.41278065630397237
3750248,Barcelona,Loss,0.4008097165991903,0.5744514106583072
3752619,AS Monaco,Loss,0.5204460966542751,0.5174625801853172
3752619,FC Porto,Win,0.5619469026548672,0.37488457987072943
3753976,Arsenal,Loss,0.4532871972318339,0.5878594249201278
3753976,Swansea City,Win,0.4846938775510204,0.4208298052497883
3753978,Southampton,Win,0.4088888888888889,0.5199306759098787
3753978,Swansea City,Loss,0.37358490566037733,0.4647802528597231
3753981,Aston Villa,Win,0.5040322580645161,0.4394856278366112
3753981,Crystal Palace,Loss,0.4537037037037037,0.38595106550907654
3753985,Liverpool,Win,0.46443514644351463,0.5223463687150838
3753985,Stoke City,Loss,0.51931330472103,0.6110659072416599
3754002,Leicester City,Win,0.568075117370892,0.33357664233576645
3754002,Newcastle United,Loss,0.4647887323943662,0.537546468401487
3754005,Newcastle United,Loss,0.4260089686098655,0.26334208223972005
3754005,Stoke City,Win,0.48518518518518516,0.5628491620111732
3754007,Stoke City,Loss,0.4217391304347826,0.5160567587752054
3754007,West Bromwich Albion,Win,0.47685185185185186,0.6180555555555556
3754010,Newcastle United,Loss,0.4755700325732899,0.5019354838709678
3754010,Watford,Win,0.3979591836734694,0.43545279383429675
3754011,Manchester United,Win,0.4246575342465753,0.6253635834787667
3754011,Southampton,Loss,0.4846938775510204,0.3559322033898305
3754014,Manchester United,Loss,0.44052863436123346,0.3061527057079318
3754014,Stoke City,Win,0.44505494505494503,0.26403326403326405
3754015,Manchester City,Draw,0.44565217391304346,0.541095890410959
3754015,Manchester United,Draw,0.5546875,0.6057866184448463
3754022,Crystal Palace,Win,0.5507246376811594,0.4297606659729448
3754022,Norwich City,Loss,0.4845360824742268,0.47592385218365063
3754024,Newcastle United,Win,0.5911602209944752,0.4507531865585168
3754024,Swansea City,Loss,0.5277777777777778,0.6722222222222223
3754026,Crystal Palace,Win,0.4264705882352941,0.5588235294117647
3754026,Stoke City,Loss,0.3333333333333333,0.34782608695652173
3754034,Everton,Win,0.45535714285714285,0.4982758620689655
3754034,Southampton,Loss,0.49224806201550386,0.6334745762711864
3754044,Manchester United,Loss,0.4964788732394366,0.6185567010309279
3754044,Norwich City,Win,0.47058823529411764,0.4525205158264947
3754050,Crystal Palace,Draw,0.4688995215311005,0.4449818621523579
3754050,Sunderland,Draw,0.42386831275720166,0.4027576197387518
3754052,Norwich City,Win,0.6157407407407407,0.2541484716157205
3754052,West Bromwich Albion,Loss,0.4794520547945205,0.4914448669201521
3754061,Chelsea,Draw,0.405982905982906,0.47133283693224126
3754061,Stoke City,Draw,0.4074074074074074,0.5624558927311221
3754074,Swansea City,Draw,0.5255813953488372,0.4001713796058269
3754074,Tottenham Hotspur,Draw,0.4765625,0.38824333561175667
3754083,Chelsea,Loss,0.4249084249084249,0.6040070713022981
3754083,Crystal Palace,Win,0.44680851063829785,0.43995859213250516
3754084,Aston Villa,Draw,0.5748987854251012,0.3647752394988946
3754084,West Bromwich Albion,Draw,0.5026737967914439,0.46557759626604434
3754088,Manchester United,Draw,0.505,0.35891286970423664
3754088,Newcastle United,Draw,0.4279661016949153,0.39111111111111113
3754090,Newcastle United,Draw,0.3651452282157676,0.29632525410476934
3754090,Stoke City,Draw,0.4166666666666667,0.4775613886536833
3754093,Chelsea,Draw,0.5656565656565656,0.4448563484708063
3754093,Tottenham Hotspur,Draw,0.5350553505535055,0.5009771986970684
3754097,Manchester United,Win,0.5,0.4723684210526316
3754097,Tottenham Hotspur,Loss,0.5344827586206896,0.39327385037748797
3754101,Norwich City,Win,0.5911330049261084,0.5301764159702879
3754101,Southampton,Loss,0.5414847161572053,0.5797413793103449
3754103,Chelsea,Draw,0.5521235521235521,0.5462857142857143
3754103,Watford,Draw,0.4409090909090909,0.45355587808417996
3754106,Aston Villa,Loss,0.5309734513274337,0.5211267605633803
3754106,Leicester City,Win,0.45217391304347826,0.5610328638497653
3754107,Aston Villa,Loss,0.4642857142857143,0.5357406042741342
3754107,Manchester United,Win,0.47560975609756095,0.48034398034398035
3754108,Chelsea,Loss,0.37735849056603776,0.5065934065934066
3754108,Sunderland,Win,0.4,0.39289558665231433
3754111,Arsenal,Loss,0.38626609442060084,0.5743626062322946
3754111,Chelsea,Win,0.4155844155844156,0.5052307692307693
3754112,Newcastle United,Draw,0.5482625482625483,0.4038208168642951
3754112,Southampton,Draw,0.41414141414141414,0.32722513089005234
3754116,Chelsea,Loss,0.3707482993197279,0.6291955247735749
3754116,Swansea City,Win,0.4166666666666667,0.4909688013136289
3754120,Southampton,Win,0.42138364779874216,0.6269146608315098
3754120,West Ham United,Loss,0.47186147186147187,0.71078114912847
3754121,AFC Bournemouth,Draw,0.6512605042016807,0.4065180102915952
3754121,Watford,Draw,0.6105263157894737,0.37969094922737306
3754130,Aston Villa,Loss,0.5248868778280543,0.5723738626964433
3754130,Norwich City,Win,0.46153846153846156,0.5198863636363636
3754133,Norwich City,Loss,0.5531135531135531,0.5208475734791524
3754133,West Bromwich Albion,Win,0.5046728971962616,0.48346636259977194
3754140,Everton,Draw,0.40186915887850466,0.4166666666666667
3754140,Tottenham Hotspur,Draw,0.3793103448275862,0.6256830601092896
3754143,Liverpool,Loss,0.4862068965517241,0.5544135429262395
3754143,Newcastle United,Win,0.4409090909090909,0.4394966118102614
3754146,Leicester City,Draw,0.4351464435146444,0.5726141078838174
3754146,Stoke City,Draw,0.5275590551181102,0.5127055306427504
3754150,Stoke City,Loss,0.42857142857142855,0.3178991015894955
3754150,Sunderland,Win,0.3878504672897196,0.5297427652733119
3754151,Norwich City,Loss,0.5185185185185185,0.3421309872922776
3754151,Swansea City,Win,0.5851528384279476,0.5187207488299532
3754158,Swansea City,Win,0.3915094339622642,0.3993660855784469
3754158,West Ham United,Loss,0.42152466367713004,0.5435897435897435
3754161,Swansea City,Win,0.5863636363636363,0.47647448641484424
3754161,Watford,Loss,0.5217391304347826,0.3323643410852713
